seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,0.0,0.25,0.5,0.012132796679641095,0.8722205498854115,0.9635659644221798,0.6945286205580139,-0.09134541453676825,0.17769192932739764
1,0.0,0.25,0.5,0.012128516663282466,1.3860683571045669,1.480641529527391,1.5341537447833358,-0.09457317242282404,-0.1480853876787689
2,0.0,0.25,0.5,0.01213099855730299,1.1769405814783964,1.2127872894417,1.454344480398608,-0.03584670796330358,-0.27740389892021167
3,0.0,0.25,0.5,0.012129808653232349,0.1720561840767989,0.37571687842074447,0.4329546666511406,-0.20366069434394557,-0.2608984825743417
4,0.0,0.25,0.5,0.012129058264845567,0.351688966407377,0.5769910834651223,0.3828019912661548,-0.22530211705774528,-0.03111302485877776
5,0.0,0.25,0.5,0.012134365708767109,0.21818466624332142,0.30231467391729094,0.043019324221676855,-0.08413000767396953,0.17516534202164458
6,0.0,0.25,0.5,0.012129433938435748,1.0417357588240765,1.0727193439349012,1.572366046076437,-0.030983585110824663,-0.5306302872523605
7,0.0,0.25,0.5,0.012132369963672231,0.7459670323723376,0.6478356472315522,0.6745720281979752,0.09813138514078545,0.0713950041743624
8,0.0,0.25,0.5,0.012128677888755289,0.888695811689726,0.9586889814096424,0.9183593634408888,-0.06999316971991643,-0.029663551751162753
9,0.0,0.25,0.5,0.01212930461606918,0.5088786031875907,0.508268541919346,0.6568919381855179,0.0006100612682446993,-0.14801333499792724
10,0.0,0.25,0.5,0.012128891114260144,-0.23353583362113484,-0.17246037464861286,0.1434287053835478,-0.06107545897252198,-0.37696453900468263
11,0.0,0.25,0.5,0.012211455842935402,0.904157095797553,0.8893499781947505,0.7666034597043334,0.014807117602802511,0.13755363609321958
12,0.0,0.25,0.5,0.012155577719083564,1.2176574899172674,1.4142401657277168,0.6486726028761757,-0.19658267581044941,0.5689848870410917
13,0.0,0.25,0.5,0.012137012015838316,0.962464803067709,1.0979697228189138,0.8178765943373053,-0.13550491975120482,0.14458820873040368
14,0.0,0.25,0.5,0.012129791851993373,0.5905557244395947,0.6706879992297802,0.349014221095654,-0.08013227479018548,0.2415415033439407
15,0.0,0.25,0.5,0.012128762776171519,0.21946878767924297,0.40771777531434544,0.801584210076958,-0.18824898763510248,-0.5821154223977151
16,0.0,0.25,0.5,0.012131335368272936,0.06626556621788761,0.10339893319469025,0.5560168561021465,-0.03713336697680264,-0.48975128988425887
17,0.0,0.25,0.5,0.012152648659818802,0.9804225064922857,1.0232153280395988,1.3786057574684631,-0.04279282154731312,-0.39818325097617746
18,0.0,0.25,0.5,0.012132279631357736,-0.22015251698181956,-0.14739730474582685,-0.2768056527656286,-0.07275521223599271,0.05665313578380901
19,0.0,0.25,0.5,0.01214331061857878,0.7028788173688799,0.770584145147715,0.9292135025902174,-0.06770532777883509,-0.22633468522133748
