seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,0.0,0.25,0.5,0.012158222680489841,1.047122526484669,1.0088730386618037,1.8513154548326365,0.03824948782286541,-0.8041929283479674
1,0.0,0.25,0.5,0.012136480521838992,0.7875836789187421,0.6476577386357556,0.7158052585984039,0.13992594028298655,0.07177842032033821
2,0.0,0.25,0.5,0.012146011712462228,1.1752732841614715,1.021269252498058,1.095954591850743,0.15400403166341348,0.07931869231072852
3,0.0,0.25,0.5,0.012138756047176753,0.1094467120624108,0.22665301249605,0.3086569580410013,-0.1172063004336392,-0.1992102459785905
4,0.0,0.25,0.5,0.012167858936995391,0.7838612403324623,0.7696728367330454,0.3676546996023352,0.014188403599416866,0.4162065407301271
5,0.0,0.25,0.5,0.012163263874534114,0.8648754194473848,0.7294173979205909,0.8232731414861031,0.13545802152679387,0.041602277961281686
6,0.0,0.25,0.5,0.012131583821424343,0.2717363607671549,0.3708963855247499,0.9696347413311472,-0.099160024757595,-0.6978983805639923
7,0.0,0.25,0.5,0.012132819166778535,0.6078607796745348,0.6109282831006797,0.7966998455597433,-0.003067503426144924,-0.1888390658852085
8,0.0,0.25,0.5,0.012133446894494391,0.76815947181905,0.807644820630018,0.8368483633405497,-0.03948534881096799,-0.0686888915214997
9,0.0,0.25,0.5,0.012172296778799536,0.495148212565253,0.5690342700386,0.7439775283448032,-0.07388605747334698,-0.24882931577955025
10,0.0,0.25,0.5,0.01213883794328292,0.3157597364481542,0.26073322317000847,0.7988267814328435,0.05502651327814573,-0.4830670449846893
11,0.0,0.25,0.5,0.01217358152225705,0.6955196608445435,0.8076958674342904,0.7362748497823407,-0.11217620658974692,-0.04075518893779717
12,0.0,0.25,0.5,0.012136976920159578,0.6903333523991817,0.9043278476369326,0.9625606587819444,-0.21399449523775094,-0.2722273063827627
13,0.0,0.25,0.5,0.012228132028362398,0.963037717516263,1.00775184275907,1.126462215057314,-0.044714125242806935,-0.16342449754105104
14,0.0,0.25,0.5,0.012162842351366061,0.49208198003458714,0.6889843802350235,0.40112855770572187,-0.19690240020043637,0.09095342232886527
15,0.0,0.25,0.5,0.01213964044735658,0.4221355412136917,0.6667401679717286,0.7843944436212551,-0.24460462675803696,-0.3622589024075634
16,0.0,0.25,0.5,0.012134946319345651,-0.004060601160066599,-0.03700441957813344,0.3293720271634078,0.032943818418066845,-0.3334326283234744
17,0.0,0.25,0.5,0.012132901327819887,0.6373576401433372,0.7065770340093815,1.2196122754620333,-0.06921939386604437,-0.5822546353186961
18,0.0,0.25,0.5,0.012131282598470659,-0.04444828746927503,-0.270210623511789,-0.30066065091489447,0.22576233604251394,0.25621236344561943
19,0.0,0.25,0.5,0.012214370906204024,0.8769917942289611,0.9219528902602292,1.0325191329424963,-0.04496109603126808,-0.1555273387135352
