seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,0.25,0.25,0.5,0.012136092587998564,0.600071703204093,0.7877962552530264,0.6759970127263781,-0.18772455204893346,-0.07592530952228516
1,0.25,0.25,0.5,0.012128957694694112,1.469872012903169,1.5253297029860717,1.6783400401169084,-0.05545769008290269,-0.20846802721373936
2,0.25,0.25,0.5,0.012134140871870746,1.1822410791579077,1.204342251801474,1.131419440478252,-0.022101172643566258,0.05082163867965561
3,0.25,0.25,0.5,0.01214989005248946,0.2478558920603484,0.4043327301585093,0.6033798948643834,-0.1564768380981609,-0.35552400280403496
4,0.25,0.25,0.5,0.012129053914993044,0.3211625166543319,0.400940157949126,1.1236537634336043,-0.07977764129479414,-0.8024912467792724
5,0.25,0.25,0.5,0.012130586911346442,0.7070742804560561,0.6329703823297161,0.9827992364200953,0.07410389812634,-0.2757249559640391
6,0.25,0.25,0.5,0.012141805965639303,0.886686846177393,0.8472677969548661,0.9140349152819368,0.039419049222526925,-0.027348069104543793
7,0.25,0.25,0.5,0.012129858938662105,0.6499678712412906,0.8400754177955322,0.4130248698284683,-0.19010754655424156,0.23694300141282232
8,0.25,0.25,0.5,0.012142146517354454,1.3302386077139277,1.2760418563229678,1.3756568296809155,0.05419675139095981,-0.04541822196698786
9,0.25,0.25,0.5,0.012148313159573711,0.17066239077109976,0.30366743144593705,0.2890485532639778,-0.1330050406748373,-0.11838616249287806
10,0.25,0.25,0.5,0.01213828684158144,0.0015023144829032801,0.23566563862013873,0.16246229472669502,-0.23416332413723545,-0.16095998024379174
11,0.25,0.25,0.5,0.012142595580793723,0.7650616761137612,0.7616480149639985,1.0883755925689547,0.0034136611497627145,-0.3233139164551935
12,0.25,0.25,0.5,0.012131829911111485,1.003325924538076,1.1579757475848342,0.5188714327309111,-0.15464982304675834,0.4844544918071648
13,0.25,0.25,0.5,0.012175030048681158,1.2866079479575379,1.3093534157565792,0.9924787471150535,-0.022745467799041297,0.2941292008424844
14,0.25,0.25,0.5,0.012131225705657063,0.7974504409345985,0.6883052445992526,1.294480889969635,0.10914519633534592,-0.49703044903503646
15,0.25,0.25,0.5,0.01212866775730765,0.7846430842941101,0.7818091884843117,0.6042748637613843,0.0028338958097984257,0.18036822053272583
16,0.25,0.25,0.5,0.01215725703649779,-0.40311049958168327,-0.283523800188743,0.15203717964070873,-0.11958669939294025,-0.5551476792223919
17,0.25,0.25,0.5,0.01213408461444775,0.7182582328469393,0.7833381454741971,0.6395303539958147,-0.06507991262725776,0.07872787885112464
18,0.25,0.25,0.5,0.012138294729950882,-0.15957424566396347,0.026698839773572954,-0.27825213790129794,-0.18627308543753643,0.11867789223733446
19,0.25,0.25,0.5,0.012128907970871346,1.0479432114683445,1.1504250948575583,0.946680346714583,-0.10248188338921382,0.10126286475376145
