seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,0.25,0.25,0.5,0.012158222680489841,1.1975174678506235,1.0187614834174574,1.9223174720103142,0.1787559844331661,-0.7248000041596907
1,0.25,0.25,0.5,0.012136480521838992,0.7836844740369224,0.625869656316058,0.7993466490225205,0.15781481772086448,-0.015662174985598076
2,0.25,0.25,0.5,0.012146011712462228,1.2124451501503903,0.9624075335262339,0.9948463942290411,0.25003761662415647,0.21759875592134925
3,0.25,0.25,0.5,0.012138756047176753,0.19314613053426546,0.2876312065117009,0.378352135936945,-0.09448507597743541,-0.18520600540267954
4,0.25,0.25,0.5,0.012167858936995391,0.8031993161153662,0.7591849052116295,0.15988004258436428,0.0440144109037367,0.6433192735310019
5,0.25,0.25,0.5,0.012163263874534114,0.9882223146490801,0.7082602207447097,0.947354608212572,0.2799620939043703,0.040867706436508056
6,0.25,0.25,0.5,0.012131583821424343,0.4038545364214575,0.4273007458741836,1.0543876059368615,-0.023446209452726074,-0.650533069515404
7,0.25,0.25,0.5,0.012132819166778535,0.556421093936086,0.6084729895758512,0.7871671338299636,-0.0520518956397652,-0.23074603989387765
8,0.25,0.25,0.5,0.012133446894494391,0.861559020757288,0.9557330813191488,0.9409151128627632,-0.09417406056186084,-0.07935609210547523
9,0.25,0.25,0.5,0.012172296778799536,0.502089869234376,0.5501536990372922,0.6747438378878055,-0.048063829802916125,-0.1726539686534294
10,0.25,0.25,0.5,0.01213883794328292,0.22346087673191017,0.17113267462069592,0.6994392136093701,0.05232820211121425,-0.47597833687745994
11,0.25,0.25,0.5,0.01217358152225705,0.6370180527058052,0.6400199583848546,0.8580287118784158,-0.0030019056790493437,-0.22101065917261054
12,0.25,0.25,0.5,0.012136976920159578,0.6203663247555269,0.8857553715058016,0.49235514389196217,-0.26538904675027475,0.12801118086356472
13,0.25,0.25,0.5,0.012228132028362398,0.9788616216648782,1.029829924331731,1.189283100164369,-0.050968302666852816,-0.21042147849949067
14,0.25,0.25,0.5,0.012162842351366061,0.6611883080470873,0.6772875246750422,0.36614445043098626,-0.016099216627954882,0.295043857616101
15,0.25,0.25,0.5,0.01213964044735658,0.8281494080986654,0.8395009751685358,0.9227172773302607,-0.011351567069870394,-0.09456786923159521
16,0.25,0.25,0.5,0.012134946319345651,-0.08506101259680392,-0.07537344221973107,0.17776784042060378,-0.009687570377072852,-0.2628288530174077
17,0.25,0.25,0.5,0.012132901327819887,0.6390053414087596,0.6818487477224751,1.2181564589776055,-0.042843406313715415,-0.5791511175688459
18,0.25,0.25,0.5,0.012131282598470659,0.23634830656317038,-0.1087910557679436,0.5407121151624514,0.345139362331114,-0.304363808599281
19,0.25,0.25,0.5,0.012214370906204024,0.9923779005673571,0.9892867571872768,1.0694093195526662,0.003091143380080319,-0.07703141898530907
