seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,1.0,0.25,0.5,0.012132796679641095,0.3682816392357025,0.6088474245555815,-0.25563100216614204,-0.240565785319879,0.6239126414018445
1,1.0,0.25,0.5,0.012128516663282466,1.2668252810153766,1.1653967501088227,1.5217689198457496,0.1014285309065539,-0.25494363883037297
2,1.0,0.25,0.5,0.01213099855730299,1.8813175545444472,1.8095542202481274,1.6759175358421812,0.07176333429631976,0.20540001870226599
3,1.0,0.25,0.5,0.012129808653232349,0.7809296681571262,0.669599754308046,0.8772096935948555,0.1113299138490802,-0.09628002543772929
4,1.0,0.25,0.5,0.012129058264845567,0.46134578317997826,0.5559571159399143,1.319856083489196,-0.094611332759936,-0.8585103003092176
5,1.0,0.25,0.5,0.012134365708767109,1.6754814282100885,1.2555607764681291,1.5847932425026852,0.41992065174195936,0.09068818570740333
6,1.0,0.25,0.5,0.012129433938435748,0.8455709413981755,0.9162564776484092,0.45149665035189634,-0.07068553625023377,0.3940742910462791
7,1.0,0.25,0.5,0.012132369963672231,0.443776024453788,0.4656052116567553,0.8249123278316364,-0.021829187202967282,-0.3811363033778484
8,1.0,0.25,0.5,0.012128677888755289,1.0312682180325419,1.1253062738917503,0.9349083737201972,-0.09403805585920844,0.09635984431234468
9,1.0,0.25,0.5,0.01212930461606918,1.0099390828472312,1.0354039420407484,0.7455156799011273,-0.025464859193517153,0.2644234029461039
10,1.0,0.25,0.5,0.012128891114260144,0.5484532875117561,0.175998333971261,0.3931032915734245,0.3724549535404952,0.15534999593833165
11,1.0,0.25,0.5,0.012211455842935402,0.6244106859773252,0.5729866580718268,0.8542291044527913,0.05142402790549838,-0.22981841847546614
12,1.0,0.25,0.5,0.012155577719083564,1.016666666204031,0.9919402889807243,0.8739808474955052,0.024726377223306617,0.1426858187085257
13,1.0,0.25,0.5,0.012137012015838316,0.9129427377321904,0.8793717578872626,0.9443630684174129,0.03357097984492774,-0.03142033068522254
14,1.0,0.25,0.5,0.012129791851993373,0.93010403171634,0.5286650773550011,0.9732569312457193,0.4014389543613389,-0.043152899529379285
15,1.0,0.25,0.5,0.012128762776171519,0.3529234055443859,0.4010190569657215,0.3910762653443354,-0.048095651421335595,-0.038152859799949534
16,1.0,0.25,0.5,0.012131335368272936,0.9570567116201442,0.679296191416966,1.3419610755277513,0.2777605202031782,-0.3849043639076072
17,1.0,0.25,0.5,0.012152648659818802,0.8421494068450155,0.76928262683601,1.0591261855276606,0.07286678000900548,-0.2169767786826451
18,1.0,0.25,0.5,0.012132279631357736,0.13861202782192958,0.0295850958505036,0.6039339011020393,0.10902693197142597,-0.46532187328010965
19,1.0,0.25,0.5,0.01214331061857878,0.6797166282349738,0.5924209090645906,1.0961849497888645,0.08729571917038326,-0.4164683215538907
