seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,1.0,0.25,0.5,0.012136092587998564,0.9372060570537406,0.9602512911648176,1.0475541926120961,-0.02304523411107695,-0.11034813555835554
1,1.0,0.25,0.5,0.012128957694694112,2.7701365500369737,2.4226010134724882,2.496364543119423,0.34753553656448544,0.27377200691755066
2,1.0,0.25,0.5,0.012134140871870746,1.2292453855525638,1.143817510780555,1.1093444604395541,0.08542787477200875,0.11990092511300965
3,1.0,0.25,0.5,0.01214989005248946,0.4568150254208043,0.32112426852042997,0.9848712324631199,0.13569075690037435,-0.5280562070423156
4,1.0,0.25,0.5,0.012129053914993044,0.41241164720862844,0.667747454008914,1.337518143684974,-0.25533580680028556,-0.9251064964763455
5,1.0,0.25,0.5,0.012130586911346442,1.752214787165403,1.1653233976409392,1.5385679037526692,0.5868913895244638,0.21364688341273386
6,1.0,0.25,0.5,0.012141805965639303,1.5021386361360705,1.3322178153601694,1.4926352545936383,0.1699208207759011,0.009503381542432132
7,1.0,0.25,0.5,0.012129858938662105,0.5207980657063742,0.49318087113338044,0.7171952609007973,0.027617194572993775,-0.1963971951944231
8,1.0,0.25,0.5,0.012142146517354454,2.505342612103881,2.084524277036886,1.9290239139903333,0.4208183350669952,0.5763186981135477
9,1.0,0.25,0.5,0.012148313159573711,-0.0584181076751523,0.11722854922073704,0.3751073342145732,-0.17564665689588935,-0.4335254418897255
10,1.0,0.25,0.5,0.01213828684158144,-0.30367300812356335,-0.30110111924784977,0.48121184351699353,-0.0025718888757135794,-0.7848848516405569
11,1.0,0.25,0.5,0.012142595580793723,0.4396975511360513,0.3332949819553619,0.43505972729521525,0.10640256918068941,0.004637823840836053
12,1.0,0.25,0.5,0.012131829911111485,1.5097188711868934,1.429052313632907,0.9394144787927362,0.08066655755398644,0.5703043923941572
13,1.0,0.25,0.5,0.012175030048681158,1.8433792300437635,1.5963314836213998,1.3455055962702764,0.2470477464223637,0.49787363377348703
14,1.0,0.25,0.5,0.012131225705657063,1.315782240628158,0.994869472237032,1.1546635989491492,0.32091276839112604,0.1611186416790089
15,1.0,0.25,0.5,0.01212866775730765,1.203983447155339,1.0906376661236725,0.6377207954820847,0.11334578103166648,0.5662626516732543
16,1.0,0.25,0.5,0.01215725703649779,-1.1947672155089009,-1.1697376887953665,-0.007326676604553824,-0.02502952671353431,-1.187440538904347
17,1.0,0.25,0.5,0.01213408461444775,0.9669192453913614,0.8906965797840374,1.389580824805039,0.07622266560732405,-0.42266157941367755
18,1.0,0.25,0.5,0.012138294729950882,0.08122646874637929,0.07162956070302742,-0.2725295043605602,0.009596908043351865,0.3537559731069395
19,1.0,0.25,0.5,0.012128907970871346,1.2422487732594807,1.2508467218220474,1.5010074561448015,-0.008597948562566682,-0.2587586828853208
