seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,0.5,0.25,0.5,0.012132796679641095,0.6022607014646703,0.7856270716819759,0.5834402396350999,-0.18336637021730562,0.018820461829570312
1,0.5,0.25,0.5,0.012128516663282466,1.2760131293550876,1.3667725115727283,1.5153966569481883,-0.09075938221764068,-0.23938352759310066
2,0.5,0.25,0.5,0.01213099855730299,1.5268316983777985,1.5052999570327408,1.5106417633317626,0.021531741345057753,0.01618993504603594
3,0.5,0.25,0.5,0.012129808653232349,0.4284020824129913,0.5055394739239648,0.6049893124384734,-0.07713739151097349,-0.1765872300254821
4,0.5,0.25,0.5,0.012129058264845567,0.29166802689641297,0.4716494733354618,0.9059159440444762,-0.17998144643904884,-0.6142479171480633
5,0.5,0.25,0.5,0.012134365708767109,0.966702465819219,0.733967049557347,1.2438914457017505,0.232735416261872,-0.27718897988253144
6,0.5,0.25,0.5,0.012129433938435748,0.8781264912889114,0.9383147103784383,0.6103985756883568,-0.06018821908952687,0.26772791560055464
7,0.5,0.25,0.5,0.012132369963672231,0.525967474779805,0.5627503776696529,0.6856611794268767,-0.03678290288984787,-0.15969370464707167
8,0.5,0.25,0.5,0.012128677888755289,0.9048579711238811,1.0750723286031187,1.0512459085594479,-0.17021435747923763,-0.14638793743556677
9,0.5,0.25,0.5,0.01212930461606918,0.7580073623659124,0.8000474933725178,0.46587284448786986,-0.04204013100660542,0.2921345178780425
10,0.5,0.25,0.5,0.012128891114260144,0.1306599408097859,-0.03555530836928747,0.23617065767441944,0.16621524917907338,-0.10551071686463354
11,0.5,0.25,0.5,0.012211455842935402,0.7139133390013485,0.7407869143605917,0.8177122443123848,-0.026873575359243285,-0.1037989053110363
12,0.5,0.25,0.5,0.012155577719083564,1.158373049079605,1.1815085051381329,0.9493568164338131,-0.02313545605852796,0.20901623264579183
13,0.5,0.25,0.5,0.012137012015838316,0.8974423914463198,1.0325328857485865,0.90592932230472,-0.13509049430226672,-0.008486930858400243
14,0.5,0.25,0.5,0.012129791851993373,0.6705051922637445,0.5613233150790093,1.0624699310305556,0.10918187718473515,-0.39196473876681115
15,0.5,0.25,0.5,0.012128762776171519,0.2157138887485165,0.411790176183508,0.3033348728105065,-0.1960762874349915,-0.08762098406198998
16,0.5,0.25,0.5,0.012131335368272936,0.5295247261884792,0.37233690008456405,1.0168920560598038,0.15718782610391518,-0.4873673298713246
17,0.5,0.25,0.5,0.012152648659818802,0.931217330129642,0.8925217940796588,0.9551345966800917,0.038695536049983215,-0.02391726655044968
18,0.5,0.25,0.5,0.012132279631357736,-0.10977744829546256,-0.07826134331103672,-0.18891759101861258,-0.031516104984425836,0.07914014272315002
19,0.5,0.25,0.5,0.01214331061857878,0.6753304016083758,0.7368092327646301,0.9129639425862028,-0.0614788311562543,-0.23763354097782707
