seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,1.0,0.25,0.5,0.012136092587998564,0.9372060570537406,0.9602512911648176,1.123630081020433,-0.02304523411107695,-0.18642402396669233
1,1.0,0.25,0.5,0.012128957694694112,2.7701365500369737,2.4226010134724882,2.516367459797539,0.34753553656448544,0.2537690902394347
2,1.0,0.25,0.5,0.012134140871870746,1.2292453855525638,1.143817510780555,1.0699412980387861,0.08542787477200875,0.15930408751377767
3,1.0,0.25,0.5,0.01214989005248946,0.4568150254208043,0.32112426852042997,1.0077288075456794,0.13569075690037435,-0.5509137821248751
4,1.0,0.25,0.5,0.012129053914993044,0.41241164720862844,0.667747454008914,1.3178941386795184,-0.25533580680028556,-0.90548249147089
