seed,lambda,exploration,budget,min_logged_propensity,joint_irc,decoupled_irc,pooled_additive_irc,joint_minus_decoupled,joint_minus_pooled
0,0.75,0.25,0.5,0.012136092587998564,0.7964486087137238,0.8851497685396968,0.9474299120606697,-0.08870115982597304,-0.15098130334694593
1,0.75,0.25,0.5,0.012128957694694112,2.3281233548292692,2.1399462849462934,2.271594181019878,0.1881770698829759,0.05652917380939115
2,0.75,0.25,0.5,0.012134140871870746,1.16551734290286,1.1779883808763967,1.2467065264321018,-0.012471037973536658,-0.08118918352924176
3,0.75,0.25,0.5,0.01214989005248946,0.32082488864197606,0.3046613286576526,0.8465595854131911,0.01616355998432345,-0.5257346967712151
4,0.75,0.25,0.5,0.012129053914993044,0.34394142267702144,0.5940577079225802,1.2666814516872618,-0.25011628524555873,-0.9227400290102403
5,0.75,0.25,0.5,0.012130586911346442,1.3668941365155125,0.9474284944998984,1.308769358983963,0.4194656420156141,0.05812477753154943
6,0.75,0.25,0.5,0.012141805965639303,1.2974464636663405,1.1341672349678407,1.3864554860359275,0.16327922869849987,-0.08900902236958697
7,0.75,0.25,0.5,0.012129858938662105,0.5366660209593462,0.5407051008227117,0.6067354202772657,-0.004039079863365491,-0.07006939931791945
8,0.75,0.25,0.5,0.012142146517354454,2.0712969755325106,1.7996986293265929,1.7386907487980798,0.2715983462059177,0.33260622673443074
9,0.75,0.25,0.5,0.012148313159573711,0.006535097918089199,0.18996644640235405,0.42869648141607597,-0.18343134848426484,-0.42216138349798676
10,0.75,0.25,0.5,0.01213828684158144,-0.2926141191187138,-0.12905164781316128,0.23436129347971552,-0.16356247130555254,-0.5269754125984294
11,0.75,0.25,0.5,0.012142595580793723,0.4862877445030233,0.422073640227855,0.4551325091128944,0.06421410427516833,0.031155235390128933
12,0.75,0.25,0.5,0.012131829911111485,1.2860967648100496,1.3332546805150243,0.848312131774923,-0.04715791570497463,0.4377846330351266
13,0.75,0.25,0.5,0.012175030048681158,1.637789234103237,1.48441550933848,1.2402647688608612,0.15337372476475686,0.3975244652423757
14,0.75,0.25,0.5,0.012131225705657063,1.0937148980175266,0.8746810557532987,0.9275331734187373,0.21903384226422795,0.16618172459878933
15,0.75,0.25,0.5,0.01212866775730765,1.1277055633511253,1.0031688391176194,0.67723441024303,0.12453672423350581,0.45047115310809527
16,0.75,0.25,0.5,0.01215725703649779,-0.89545976276184,-0.8492515795439927,0.07707058769387896,-0.046208183217847365,-0.972530350455719
17,0.75,0.25,0.5,0.01213408461444775,0.8731256357899098,0.8266065881796383,1.3835327710006184,0.04651904761027148,-0.5104071352107087
18,0.75,0.25,0.5,0.012138294729950882,0.022291607740756992,0.06764220639093661,-0.2812462454464193,-0.045350598650179624,0.3035378531871763
19,0.75,0.25,0.5,0.012128907970871346,1.1767627482009502,1.2093328065312579,1.319084989218446,-0.03257005833030768,-0.1423222410174958
