oracle_joint,oracle_dec,oracle_delta,oracle_pct,est_joint,est_dec,est_delta,est_pct,pehe_joint,pehe_dec,lambda,seed
72.64338317688534,66.03400378786495,6.60937938902039,9.098391484502683,28.1095000800458,27.96938927505612,0.14011080498968198,0.4984464490321654,14.05905384792029,10.838096306852215,0.0,0
72.46723122674325,65.51898519101354,6.94824603572971,9.588121304081968,27.8962134559947,28.10615482333031,-0.20994136733560964,-0.7525801581163867,14.290697228957097,11.117505283992807,0.0,1
73.06729193291659,66.01170366323485,7.055588269681735,9.65628817359141,28.18360376726845,28.238748473016553,-0.05514470574810204,-0.19566236526552847,14.189650828817376,10.980467430697944,0.0,2
72.72805826788536,65.86378282125341,6.86427544663195,9.43827679456007,27.817521494081237,28.04211711086212,-0.22459561678088136,-0.8073890293521254,14.073974693489449,10.846925854427294,0.0,3
72.76378512560527,65.82699413202837,6.936790993576892,9.533301465286012,27.929024030281987,28.04048540925442,-0.11146137897243236,-0.39908798406840346,14.055321262866725,10.828402832143277,0.0,4
72.78187007781898,65.82418810735335,6.957681970465629,9.55963616079996,28.054573453124387,28.09104184818178,-0.036468395057394076,-0.12999090903423682,14.095842055144848,10.860826092461709,0.0,5
73.39135278641797,66.20433079809303,7.187021988324943,9.792736767287108,28.254074450614894,28.3609491677662,-0.1068747171513067,-0.37826302658794325,14.136597930382713,10.905801659827873,0.0,6
72.89072114133437,65.66356432423493,7.227156817099441,9.915057367982486,28.15644677487095,28.059244595034954,0.0972021798359961,0.34522175547642986,14.195170787061922,10.994732501114795,0.0,7
72.80492143778008,65.87548131850892,6.929440119271163,9.517818277151967,28.072685383752056,28.089780961785486,-0.017095578033430314,-0.06089755148014773,13.98493506971539,10.738991947798917,0.0,8
72.6964801521994,65.85775244803075,6.838727704168647,9.407233596249633,27.96103569166544,27.946425410922327,0.014610280743113435,0.05225228744823795,14.06115291020997,10.822970512466643,0.0,9
72.35541433434203,65.31369408432145,7.041720250020575,9.732126219997838,27.890930252699928,27.994869181663788,-0.10393892896385992,-0.3726621092310046,13.987731513088127,10.738376155675434,0.0,10
72.43523003166294,65.61409973975294,6.821130291909995,9.4168684063381,27.735333157198525,27.91132622061323,-0.17599306341470466,-0.6345446164904884,13.94332224009379,10.690029692671098,0.0,11
72.24808292736404,65.20829350348174,7.039789423882297,9.743911725602299,27.83823743953291,28.031412361485994,-0.1931749219530836,-0.6939193703361302,14.031444353737205,10.783759619016463,0.0,12
72.89528803312062,65.88729072659595,7.007997306524672,9.613786426552737,28.014824953142337,28.127591426565655,-0.11276647342331714,-0.402524283524636,13.98765093502084,10.729974777929103,0.0,13
