oracle_joint,oracle_dec,oracle_delta,oracle_pct,est_joint,est_dec,est_delta,est_pct,pehe_joint,pehe_dec,beta,seed
84.69396112038365,75.53022663854945,9.163734481834197,10.819820398775425,13.107876330726317,12.434944471937753,0.672931858788564,5.133797739692867,14.31249157069334,11.04086422157271,0.2,0
84.83325584027357,75.20742498709905,9.62583085317452,11.346765791116523,13.016553633753036,12.404709766964773,0.6118438667882629,4.700505863562068,14.585332160000467,11.371262771217271,0.2,1
85.59953368303508,75.95854020623523,9.64099347679985,11.262904202842162,12.876515940040665,12.361814660269989,0.5147012797706765,3.9972091998128727,14.510341678238202,11.27248367918567,0.2,2
84.05192315533623,75.1040740346488,8.947849120687422,10.645620926663293,12.663008631182528,12.233896143831211,0.4291124873513166,3.3887087962226565,14.30750818864757,11.043297603728476,0.2,3
84.62090642921528,75.36883305043365,9.252073378781631,10.933555038814099,12.849671919312254,12.376431092083061,0.47324082722919236,3.6829020242761294,14.304011991871489,11.038196682386998,0.2,4
84.58621807603008,75.59069277753034,8.995525298499743,10.634741099802028,13.061198497020284,12.544968191959601,0.5162303050606827,3.9523961386732838,14.354317051879248,11.066659310863509,0.2,5
85.21526297106247,75.94770725946682,9.267555711595648,10.875464545292477,12.843939772776112,12.516511911034367,0.32742786174174476,2.5492790182320664,14.404587538494612,11.142330670225308,0.2,6
85.16442921930779,75.79648295011255,9.367946269195244,10.999834502585287,13.208067714364887,12.609619247481108,0.5984484668837791,4.53093124464312,14.502526037554729,11.269221510167094,0.2,7
84.5613780026496,75.32023933304954,9.241138669600062,10.92832081013451,12.867090561499978,12.38848215757847,0.47860840392150905,3.7196318906277703,14.21467166471088,10.907748219516963,0.2,8
84.40455266611134,75.54095278831306,8.86359987779828,10.501329131926125,12.880726842121119,12.357180099557738,0.5235467425633811,4.0645745304631165,14.295826357571338,11.00280841800704,0.2,9
84.31805895221486,75.25003575579092,9.068023196423937,10.754544529497544,12.925663024070436,12.5202419316859,0.40542109238453605,3.1365593519616946,14.252925105426131,10.972675310311104,0.2,10
84.26063209694107,74.98211165555858,9.278520441382483,11.011691000261703,12.942756984258628,12.409419782471579,0.5333372017870488,4.120738745506151,14.209183374426146,10.910040435828746,0.2,11
