oracle_joint,oracle_dec,oracle_delta,oracle_pct,est_joint,est_dec,est_delta,est_pct,pehe_joint,pehe_dec,rho,seed
76.54558168723182,67.91613030701551,8.62945138021631,11.273611343730563,29.974539237341823,28.9976693386589,0.9768698986829243,3.2589988821778277,14.391763659422049,11.140983453942429,0.0,0
76.17829800275058,67.33304179212755,8.845256210623035,11.611254704461443,30.09334366117108,28.951584223980106,1.1417594371909736,3.794059743065926,14.35684375492041,11.098401979954613,0.0,1
76.21663433792102,67.3524265408458,8.864207797075224,11.630279759893442,30.025129853822,29.064571093735143,0.9605587600868581,3.1991827005024107,14.433280085710672,11.174656423960531,0.0,2
76.16727871576511,67.41757349218241,8.749705223582694,11.487485664591139,29.957430891116747,29.106368233715866,0.851062657400881,2.840906686872291,14.387174750224208,11.14161079996848,0.0,3
76.29947625242235,67.69359642490004,8.605879827522315,11.279081129012464,29.883753658208548,28.952742204764924,0.9310114534436238,3.115443475046486,14.45033817685915,11.21292396053616,0.0,4
76.2202239652811,67.18082639134315,9.039397573937947,11.859578867224876,30.14239233368617,29.385970171994106,0.7564221616920648,2.5094961054126803,14.27307576560575,10.977635147459827,0.0,5
76.0147086915588,67.46982428441011,8.544884407148686,11.241093407094212,29.807622381477163,28.922868144279462,0.8847542371977006,2.9682147266717194,14.395385792584332,11.122116797849536,0.0,6
76.1103884553923,67.46476781936595,8.64562063602635,11.359317448620672,29.801668274771124,29.003661962057233,0.7980063127138912,2.6777236272690503,14.391249107598842,11.12022004681155,0.0,7
76.08335584396094,67.62740262685755,8.4559532171034,11.114064466932401,29.61408887782223,28.64180253604042,0.9722863417818104,3.2831884370751263,14.45513118182533,11.221583264239984,0.0,8
76.24864307445678,67.674680550957,8.573962523499773,11.244741122969625,29.97866878796557,28.92866898316716,1.0499998047984107,3.5024897610527503,14.563275205411868,11.359567573624867,0.0,9
76.22528365054622,67.55519993790197,8.670083712644242,11.37428855285357,29.87476667787019,28.814300702992195,1.0604659748779959,3.5497046263579315,14.44434039329045,11.210786569714248,0.0,10
75.7135285337644,67.24100816412081,8.47252036964359,11.1902331508236,29.630191293879108,28.852540756434333,0.7776505374447744,2.6245208130175604,14.35493576539456,11.11658826404472,0.0,11
76.04543377139025,67.46555460553702,8.579879165853228,11.282569827461677,29.708337585052025,28.57169401559425,1.1366435694577746,3.8260086623954526,14.46312527592978,11.224161779966062,0.0,12
75.48186131998807,66.92997409260465,8.551887227383418,11.329724887320477,29.566681789356412,28.639549099449294,0.9271326899071184,3.135734664147781,14.305446141418807,11.026766371139392,0.0,13
76.26487812124213,67.82826701344877,8.436611107793368,11.062249511998512,30.10195873159561,29.19118287143346,0.9107758601621505,3.0256365317722076,14.35015352532382,11.078393993559946,0.0,14
76.04076231635187,66.9880976749551,9.052664641396774,11.905015633240279,29.741332023434328,28.77188612580859,0.9694458976257394,3.2595913890537123,14.343092231670324,11.096392222504992,0.0,15
76.37518742936477,67.44165871250591,8.93352871685886,11.696899238539991,29.8692582751164,28.940558284349528,0.9286999907668729,3.1092167813907787,14.409387498385371,11.154200374600876,0.0,16
76.39128648513079,67.73759841662562,8.653688068505176,11.328108828471656,29.918231162443806,28.929534785815953,0.9886963766278534,3.304661867406648,14.558420602084576,11.344864889576595,0.0,17
75.97123152657674,67.18409761949123,8.787133907085519,11.566396556322173,29.889131783362515,28.953121065191123,0.9360107181713921,3.131608923790865,14.406551018132726,11.163768536990514,0.0,18
76.37664522542937,67.26882761798511,9.107817607444261,11.924872558309017,29.825626351211515,28.939895670514844,0.8857306806966712,2.9696968313984553,14.319011068056696,11.018443498070786,0.0,19
77.6081070796685,68.31986732619585,9.288239753472652,11.968130782957793,30.75936125137546,27.895756680080776,2.863604571294683,9.309701030175429,14.433691835103936,11.10358227104935,0.25,0
77.50518586612557,68.31830830062795,9.186877565497625,11.853242415760521,30.627108959231606,27.993099268560638,2.6340096906709682,8.600255721743617,14.430273953768577,11.12618404044816,0.25,1
77.51214809356244,68.23750903528202,9.274639058280428,11.965400632537376,30.581210935480474,28.01914180521199,2.5620691302684833,8.377919159819658,14.57499905743303,11.255401165925964,0.25,2
77.20518949460632,67.97113714469178,9.234052349914535,11.96040371166972,30.650624468160846,27.916399779038045,2.734224689122801,8.920616583075002,14.453402716806483,11.140880162433191,0.25,3
77.40938634210232,67.98036192141345,9.429024420688876,12.180724930460412,30.751359504933696,28.090915035499986,2.6604444694337097,8.651469438308483,14.436259241413241,11.089646640366741,0.25,4
77.78683175051903,68.14501747540658,9.641814275112452,12.395175453393007,30.97447377176996,28.19106877668269,2.7834049950872704,8.986125206182056,14.635484364757119,11.358400364708002,0.25,5
77.11930688221524,67.7190320876477,9.400274794567537,12.189262552533869,30.39943778535018,27.739902964095847,2.659534821254333,8.748631603101527,14.590164024667716,11.325224386428054,0.25,6
77.66731245153349,68.17295629380452,9.494356157728973,12.224391263253391,30.845564003092687,28.010531877236406,2.83503212585628,9.191052968174061,14.450629438781148,11.131709557374366,0.25,7
77.54554636527673,68.32088160920317,9.224664756073565,11.895802129784434,30.547805357945705,27.986684217294272,2.5611211406514336,8.383977541565903,14.5577752621653,11.274946713284802,0.25,8
77.59010819979981,68.13232127707519,9.457786922724623,12.189423551737004,30.67840747936618,28.08023289578428,2.5981745835818977,8.469066020879309,14.660478626803139,11.3892683338013,0.25,9
77.71235238831903,68.37592815139753,9.336424236921502,12.014080065764245,30.674479649957703,28.016868882093778,2.6576107678639254,8.66391475321274,14.520572621299129,11.204429013982342,0.25,10
77.4098198239567,68.25831385363277,9.151505970323925,11.822151234993223,30.67753663358584,27.811342172735706,2.866194460850135,9.342974617173851,14.577395925573853,11.302273796208969,0.25,11
77.30354334753271,68.30640831762308,8.997135029909629,11.63870974123567,30.540712566013916,27.773076140559315,2.767636425454601,9.062121322390038,14.470252852871377,11.184082795971895,0.25,12
77.31250702706649,68.16072105889596,9.151785968170529,11.83739387078285,30.52514043428218,27.859276208888595,2.665864225393584,8.733339756889718,14.427234199914741,11.123945452524149,0.25,13
77.7027629206234,68.33685698984843,9.365905930774971,12.053504378399818,30.80008013584065,28.31337683604673,2.48670329979392,8.073691006083639,14.424649865034514,11.079629773707204,0.25,14
77.67544326643328,68.74874306562965,8.926700200803623,11.49230673867453,30.725326345957637,28.190410202498366,2.53491614345927,8.250249696022433,14.517084448455561,11.211132043973757,0.25,15
77.47762137748491,68.1258433111717,9.351778066313202,12.070295783539425,30.741775085896077,28.060389766226457,2.6813853196696193,8.722285268750806,14.544858328102157,11.24381889700562,0.25,16
77.67143118727905,68.19767023029536,9.473760956983696,12.197227232933102,30.974082658685997,28.10748132813891,2.8666013305470877,9.254838511716867,14.427218912507854,11.111062430765395,0.25,17
77.4965323395218,67.86864005623903,9.627892283282776,12.423642700684724,30.69637505018807,28.25061623244853,2.4457588177395415,7.967581884638711,14.433179039785523,11.115365151366792,0.25,18
77.19345985273527,67.74123511719478,9.452224735540497,12.244851770568186,30.735302132755866,28.003508983039143,2.7317931497167223,8.888128504210599,14.528328509767583,11.190049961858607,0.25,19
83.47101454005359,74.91229208264816,8.558722457405423,10.25352633434031,33.14794886099125,30.57967456921691,2.5682742917743404,7.7479131591056145,15.165444389224806,11.722683713772867,0.5,0
83.28553012027587,74.48022083475021,8.805309285525652,10.572435899500867,33.043551483862615,30.508832296707524,2.5347191871550905,7.670843699694217,15.243843305867967,11.823416597032722,0.5,1
83.57782406912607,74.84737042302999,8.73045364609608,10.445897273988901,32.93654469461008,30.343443042527294,2.593101652082783,7.873022735463605,15.138032830074524,11.71084852100536,0.5,2
83.74815904821098,74.91988195688936,8.828277091321624,10.541458094905087,33.04756666392741,30.502183785206448,2.5453828787209645,7.702179420971832,15.120775674186119,11.688264460249638,0.5,3
83.64997596274631,74.75391380773911,8.8960621550072,10.634865165973366,33.26822579726536,30.37700694960614,2.8912188476592178,8.690631310723145,15.22986731353356,11.818854004882459,0.5,4
83.19993099769538,74.34024704970463,8.859683947990746,10.648667422856587,32.934958334161415,30.11065548464031,2.8243028495211036,8.575395240720942,15.223296490988806,11.798270314903581,0.5,5
83.37462181825738,74.91675838984716,8.45786342841022,10.144409946286698,33.09361044028285,30.61628131007598,2.477329130206872,7.485823085629149,15.311014249892775,11.904973935306375,0.5,6
83.90136358124535,74.89220505708565,9.009158524159702,10.737797503655278,33.45313815939485,30.824270051661355,2.628868107733492,7.8583602387544955,15.272324957035927,11.840027864728231,0.5,7
82.72902415525185,74.47582693544447,8.253197219807376,9.976181036922629,32.93525264324859,30.143485145084036,2.7917674981645533,8.476532815474966,15.17191361623641,11.77309017414887,0.5,8
83.47865406210366,74.83334833943151,8.645305722672148,10.356307034179665,33.09304358171679,30.246911763998437,2.846131817718355,8.60039304239391,15.246284765241326,11.823301842018896,0.5,9
83.21458528131718,74.21515426490193,8.999431016415258,10.814727954230102,33.000905018862284,30.120796603152552,2.8801084157097314,8.727361913449197,15.149604316567807,11.6804653682926,0.5,10
83.13892049527325,74.80924754087798,8.329672954395278,10.018981368502192,33.13805986847912,30.18736235931608,2.9506975091630387,8.904255472028218,15.208058173166497,11.755730849945643,0.5,11
83.16265592686425,74.25282101115869,8.90983491570556,10.713745029428999,33.16018464264925,30.09899116511985,3.0611934775294003,9.231533269547059,15.14844783547772,11.696436034977175,0.5,12
83.08765261097864,74.4583868049049,8.629265806073732,10.385737874286173,33.06432640713747,30.263254734774517,2.801071672362955,8.471582447717122,15.203545510437143,11.772246485253072,0.5,13
83.41298354828396,74.80937336769712,8.603610180586841,10.314473616216599,33.34608467606869,30.370383474527944,2.9757012015407476,8.92368993375796,15.220161582562183,11.805194189470473,0.5,14
83.58675036324695,74.47364455716509,9.113105806081862,10.902572197721051,33.160602409984904,30.75422509246986,2.4063773175150445,7.256735832972884,15.286033792442595,11.89860625535098,0.5,15
83.62001781656372,74.4472440502204,9.172773766343312,10.96959078203681,32.98249590351688,29.89753073960451,3.0849651639123685,9.353340550505223,15.133801455852815,11.6792265145885,0.5,16
83.30591115358754,74.33771588874943,8.968195264838116,10.765376838990258,33.21819070242522,30.310012836674577,2.908177865750641,8.754775032158264,15.13508074047555,11.704438616678146,0.5,17
83.4227990059417,74.4704389510437,8.952360054897994,10.731311058335951,33.156288130535096,30.44910213908922,2.7071859914458756,8.164924797334923,15.248391910904006,11.798101651963545,0.5,18
83.2421968995948,74.54844968412505,8.693747215469756,10.443918516417813,32.83257199101767,29.891691078770272,2.940880912247401,8.957205402768832,15.297320288033376,11.85827183208763,0.5,19
