seed,exploration,min_logged_propensity,pct_logged_prop_lt_0p01,true_joint_irc,true_decoupled_irc,true_joint_advantage,dm_joint_ope,dr_joint_ope,dm_decoupled_ope,dr_decoupled_ope,abs_error_dm_joint,abs_error_dr_joint
0,0.5,0.016666666669571582,0.0,28.046788183767802,27.321239186748446,0.7255489970193558,31.88516209125519,24.83559424189887,29.104208070755003,24.887745435049176,3.8383739074873873,3.211193941868931
0,0.25,0.008333333337690707,7.225,27.997922184433268,27.221996157895948,0.77592602653732,31.65643501186371,26.45699319755855,28.460776766777037,29.156011207821937,3.6585128274304424,1.540928986874718
0,0.1,0.003333333338562183,8.3,27.750309040100074,26.18463571886693,1.5656733212331453,32.13346010828018,26.84113294287469,28.56274685716629,23.210513580086268,4.3831510681801085,0.9091760972253837
1,0.5,0.01666666740729336,0.0,28.517929711681937,27.615271576055015,0.9026581356269219,31.256146513462067,31.33339010882144,28.880332476139067,28.973650998579817,2.73821680178013,2.8154603971395034
1,0.25,0.00833333444427337,7.425,28.42873848684426,26.54755895341672,1.8811795334275416,31.596477261543274,27.733224981176345,28.69918644428253,26.834144585075023,3.167738774699014,0.6955135056679147
1,0.1,0.003333334666461377,7.6,28.168873746765705,27.199956524918974,0.9689172218467306,32.38212741851807,29.509149313530127,28.827678667068483,29.24512168415788,4.213253671752362,1.3402755667644222
2,0.5,0.016666666687685745,0.0,28.363187508570203,27.61419324784867,0.7489942607215312,31.68111030626297,27.308723644840974,29.205202874660493,28.19947922840129,3.3179227976927663,1.0544638637292287
2,0.25,0.00833333336486195,6.625,28.618368242811666,27.361212865950005,1.257155376861661,31.772919189453123,27.072260582575556,28.4831751203537,26.84642731982859,3.154550946641457,1.5461076602361103
2,0.1,0.003333333371167674,7.85,28.527964781024952,27.2381713115897,1.2897934694352529,32.79998286342621,28.8261427752664,29.64292640686035,26.395493252391642,4.272018082401257,0.2981779942414491
3,0.5,0.016666667297961246,0.0,28.389535934082822,27.17402168494618,1.2155142491366426,31.47367916727066,28.579861644716257,29.062345487117767,26.46397935986978,3.084143233187838,0.1903257106334344
3,0.25,0.008333334280275204,6.9,28.273390634201803,27.56568466662612,0.7077059675756843,32.147385766983035,28.20966497034585,28.35204587173462,26.741243027773976,3.873995132781232,0.06372566385595135
3,0.1,0.0033333344696635774,7.5,28.249369147890473,26.770897603816675,1.4784715440737983,32.0599839220047,27.955884928767503,28.529370530128478,26.181005187073165,3.8106147741142244,0.29348421912296985
