bootstrap,lambda,n_train_draws,n_train_unique,n_oob,irc_joint_week,irc_decoupled_week,delta_week,delta_year
9,1.0,480,372,429,1.0027524208966327,0.018677812975792067,0.9840746079208407,51.17187961188372
10,0.0,480,365,436,0.12303266936172139,-0.0024586046895245443,0.1254912740512459,6.525546250664787
10,0.25,480,365,436,0.26986762718389007,-0.04823264908023483,0.3181002762641249,16.541214365734493
10,0.5,480,365,436,0.6208516574023901,-0.1229835093044531,0.7438351667068432,38.67942866875585
10,0.75,480,365,436,0.7818006385908643,-0.06054933906813943,0.8423499776590039,43.802198838268204
10,1.0,480,365,436,0.9541719713348129,0.10206356985373569,0.8521084014810775,44.309636877016025
11,0.0,480,352,449,0.17426520921905236,0.014783592929474999,0.1594816162895774,8.293044047058025
11,0.25,480,352,449,0.35861205459201073,-0.09594535101558233,0.454557405607593,23.636985091594838
11,0.5,480,352,449,0.6511189610687967,-0.056335285018795894,0.7074542460875927,36.78762079655482
11,0.75,480,352,449,0.8343794113454706,-0.0001134918497934218,0.834492903195264,43.39363096615373
11,1.0,480,352,449,1.0950755187547023,0.06567636856098216,1.02939915019372,53.52875581007344
12,0.0,480,358,443,0.14685035213335984,0.024106587781694108,0.12274376435166576,6.382675746286619
12,0.25,480,358,443,0.41333315006121035,0.019519397239036014,0.3938137528221744,20.47831514675307
12,0.5,480,358,443,0.548761474598161,0.028886019557183507,0.5198754550409774,27.033523662130825
12,0.75,480,358,443,0.8281796945400528,0.08404963051987384,0.744130064020179,38.69476332904931
12,1.0,480,358,443,0.9910673041495698,0.018814188607908164,0.9722531155416618,50.557162008166415
13,0.0,480,368,433,0.12232618287695878,-0.007458681048429775,0.12978486392538854,6.748812924120204
13,0.25,480,368,433,0.3706378836782928,0.020572346029889884,0.35006553764840304,18.20340795771696
13,0.5,480,368,433,0.5876581322195175,0.0015689202910106083,0.5860892119285067,30.47663902028235
13,0.75,480,368,433,0.8740469853339302,0.05284680760005515,0.821200177733875,42.7024092421615
13,1.0,480,368,433,1.0406310658387268,0.11544447218149706,0.9251865936572299,48.10970287017595
14,0.0,480,373,428,0.11634350966130146,0.06619911394976898,0.05014439571153248,2.607508576999689
14,0.25,480,373,428,0.35196932190218894,-0.02834489526727868,0.3803142171694676,19.776339292812317
14,0.5,480,373,428,0.6653479088921044,-0.04902845463969634,0.7143763635318009,37.147570903653644
14,0.75,480,373,428,0.8868156247398895,-0.009830340251579448,0.8966459649914689,46.62559017955638
14,1.0,480,373,428,1.1087706337996395,-0.14336625015563798,1.2521368839552773,65.11111796567442
15,0.0,480,365,436,0.1827439841830257,0.015187832215954218,0.1675561519670715,8.712919902287718
15,0.25,480,365,436,0.4144691407191004,-0.018112243183241408,0.43258138390234174,22.49423196292177
15,0.5,480,365,436,0.5763200549018628,-0.14625744069854069,0.7225774956004035,37.574029771220985
15,0.75,480,365,436,0.675005141122587,-0.0291231059829942,0.7041282471055813,36.61466884949023
15,1.0,480,365,436,1.0236542626152372,0.013336407857763672,1.0103178547574734,52.53652844738862
16,0.0,480,369,432,0.13800671425403066,0.04374990441693121,0.09425680983709944,4.901354111529171
16,0.25,480,369,432,0.35834596869170743,-0.03747555270837632,0.3958215214000837,20.58271911280435
16,0.5,480,369,432,0.6054442817045964,-0.03805964231818279,0.643503924022779,33.46220404918451
16,0.75,480,369,432,0.8488486790129067,-0.09329765756281377,0.9421463365757206,48.99160950193747
16,1.0,480,369,432,1.0369563235040375,0.006380670510756266,1.030575652993281,53.589933955650615
17,0.0,480,370,431,0.20229430958151806,0.08375033521202797,0.11854397436949009,6.164286667213484
17,0.25,480,370,431,0.35025821905121163,-0.003955811210661562,0.35421403026187315,18.419129573617404
17,0.5,480,370,431,0.6031643881294813,-0.0014523992188841775,0.6046167873483654,31.440072942115002
17,0.75,480,370,431,0.8073350834026979,-0.031823230517134656,0.8391583139198325,43.636232323831294
17,1.0,480,370,431,1.0703089219088078,-0.0410702669630545,1.1113791888718623,57.79171782133684
18,0.0,480,363,438,0.1934940543614285,0.028193713510117208,0.16530034085131126,8.595617724268186
18,0.25,480,363,438,0.33546532193925876,0.017350682270032183,0.31811463966922654,16.54196126279978
18,0.5,480,363,438,0.5709335979034607,0.023981678014326855,0.5469519198891338,28.44149983423496
18,0.75,480,363,438,0.818126986340513,-0.04272303103708793,0.8608500173776009,44.76420090363525
18,1.0,480,363,438,1.020970349201796,0.04250226251633823,0.9784680866854577,50.8803405076438
19,0.0,480,364,437,0.20116361913339617,0.0549271435715234,0.1462364755618728,7.604296729217386
19,0.25,480,364,437,0.24508479704943817,-0.008087529932356098,0.25317232698179426,13.164961003053302
19,0.5,480,364,437,0.5510450869170104,0.04027080957364895,0.5107742773433614,26.560262421854794
19,0.75,480,364,437,0.7279343588172137,-0.0022553278984630116,0.7301896867156766,37.96986370921518
19,1.0,480,364,437,0.9686808828106593,-0.03257496166443509,1.0012558444750943,52.065303912704906
20,0.0,480,353,448,0.1912994110091922,0.04468951223002861,0.14660989877916358,7.623714736516506
20,0.25,480,353,448,0.34372518257807705,-0.0022298904622313647,0.34595507304030837,17.989663798096036
20,0.5,480,353,448,0.578631986556304,0.0030691586660625664,0.5755628278902415,29.92926705029256
20,0.75,480,353,448,0.8220128222582596,4.49047470524084e-05,0.8219679175112071,42.74233171058277
20,1.0,480,353,448,1.017629177188043,0.023940255307674733,0.9936889218803684,51.67182393777916
21,0.0,480,359,442,0.10774562561342234,0.007923752740509445,0.09982187287291289,5.190737389391471
21,0.25,480,359,442,0.29020295502779897,-0.057549171350792384,0.3477521263785914,18.083110571686753
21,0.5,480,359,442,0.5414702187228265,-0.1008475335522108,0.6423177522750374,33.40052311830195
21,0.75,480,359,442,0.8086363454453522,0.016459017693131302,0.7921773277522207,41.19322104311548
21,1.0,480,359,442,0.9574301460689055,-0.08242710623157706,1.0398572523004825,54.072577119625095
22,0.0,480,360,441,0.18160451369787822,0.05301803059461284,0.12858648310326537,6.686497121369799
22,0.25,480,360,441,0.37918485429252174,-0.002567349270292982,0.3817522035628147,19.851114585266366
22,0.5,480,360,441,0.6008213940094049,-0.002063443802525112,0.60288483781193,31.35001156622036
22,0.75,480,360,441,0.819853395358174,-0.016266700296244312,0.8361200956544185,43.478244974029764
22,1.0,480,360,441,1.0478511014837453,0.03782350125966527,1.01002760022408,52.52143521165216
23,0.0,480,362,439,0.1476596729639508,0.03759849876297888,0.1100611742009719,5.723181058450539
23,0.25,480,362,439,0.3967896855101355,-0.00038197472445906797,0.39717166023459466,20.652926332198923
23,0.5,480,362,439,0.6213784145210376,-0.11507025419976802,0.7364486687208057,38.2953307734819
23,0.75,480,362,439,0.770875876422376,-0.06104791460600086,0.8319237910283769,43.2600371334756
23,1.0,480,362,439,0.9913646822619442,-0.049956007070649816,1.041320689332594,54.14867584529488
24,0.0,480,349,452,0.11437119808399086,0.05275206466270768,0.06161913342128316,3.2041949379067245
24,0.25,480,349,452,0.3182186658198928,0.02932906813745814,0.28888959768243455,15.022259079486597
24,0.5,480,349,452,0.6396392315221281,-0.11741321156134284,0.757052443083471,39.36672704034049
24,0.75,480,349,452,0.8083679430597688,-0.08386487330541953,0.8922328163651883,46.39610645098979
24,1.0,480,349,452,0.989471719619007,-0.013429508621220644,1.0029012282402276,52.15086386849184
25,0.0,480,364,437,0.1959042988920712,0.11261143655375853,0.08329286233831268,4.331228841592259
25,0.25,480,364,437,0.44969006912300213,-0.004968057293699784,0.4546581264167019,23.642222573668498
25,0.5,480,364,437,0.6244642408027294,-0.03267205902018933,0.6571362998229187,34.17108759079177
25,0.75,480,364,437,0.8300874984898458,-9.130914809787302e-05,0.8301788076379436,43.16929799717307
25,1.0,480,364,437,1.0327371106278085,-0.1463148273917106,1.179051938019519,61.310700777014986
26,0.0,480,349,452,0.11309504533070526,0.011054100168660553,0.1020409451620447,5.306129148426325
26,0.25,480,349,452,0.38304182962849814,-0.07254054947991438,0.4555823791084126,23.690283713637456
26,0.5,480,349,452,0.6596605337547448,-0.1386481072067506,0.7983086409614953,41.51204932999776
26,0.75,480,349,452,0.8684809833252569,0.11587893801776526,0.7526020453074918,39.13530635598957
26,1.0,480,349,452,0.9951890192946342,0.025150124827504762,0.9700388944671294,50.442022512290734
27,0.0,480,368,433,0.1349444969713117,0.0552348907602804,0.07970960621103128,4.144899522973627
27,0.25,480,368,433,0.32505074177761245,0.03274419111885312,0.2923065506587594,15.199940634255487
27,0.5,480,368,433,0.5541653261937212,-0.07267567974150778,0.626841005935229,32.59573230863191
27,0.75,480,368,433,0.7742548507934534,-0.058792442655502514,0.8330472934489559,43.31845925934571
27,1.0,480,368,433,0.9453813882977237,-0.03236359767747419,0.9777449859751979,50.84273927071029
28,0.0,480,362,439,0.0892501106549006,0.012128070611715964,0.07712204004318464,4.010346082245602
28,0.25,480,362,439,0.3931340612992218,0.00672978160447352,0.3864042796947483,20.09302254412691
28,0.5,480,362,439,0.5688522920596458,0.014486464848463474,0.5543658272111824,28.827023014981485
28,0.75,480,362,439,0.714782838039816,0.046109411910650086,0.668673426129166,34.771018158716636
28,1.0,480,362,439,1.0122435949431317,0.06637307228012032,0.9458705226630114,49.18526717847659
29,0.0,480,359,442,0.1263713064981936,0.0665257736745752,0.05984553282361838,3.111967706828156
29,0.25,480,359,442,0.4338942928487228,0.06012891755696097,0.3737653752917618,19.435799515171613
29,0.5,480,359,442,0.5820061840574884,-0.05006159156248421,0.6320677756199726,32.867524332238574
29,0.75,480,359,442,0.8175279756174539,0.016872133450002734,0.8006558421674512,41.634103792707464
29,1.0,480,359,442,1.044913474413327,0.05459146945390419,0.9903220049594228,51.496744257889986
30,0.0,480,359,442,0.1676263972362951,0.015130017808413795,0.1524963794278813,7.929811730249828
30,0.25,480,359,442,0.4319764442924855,0.04855568456008014,0.38342075973240536,19.93787950608508
30,0.5,480,359,442,0.5446313052818195,0.002006829517310278,0.5426244757645091,28.216472739754472
30,0.75,480,359,442,0.7847937833297153,0.06720998403330487,0.7175837992964103,37.31435756341333
30,1.0,480,359,442,1.077909298244076,0.08388832053423678,0.9940209777098393,51.689090840911646
31,0.0,480,356,445,0.20584620566135545,0.08111935306994678,0.12472685259140867,6.485796334753251
31,0.25,480,356,445,0.4396821684141431,0.015950071838530356,0.4237320965756127,22.034069021931863
31,0.5,480,356,445,0.6436659481309239,0.010020732835991435,0.6336452152949325,32.94955119533649
31,0.75,480,356,445,0.8755928228271032,0.04338083106041091,0.8322119917666922,43.275023571868
31,1.0,480,356,445,1.078596509558797,0.15744794059329056,0.9211485689655069,47.89972558620636
32,0.0,480,361,440,0.27983888903354004,0.04598246780271045,0.2338564212308296,12.160533904003138
32,0.25,480,361,440,0.32804637754044325,-0.04718841942091034,0.3752347969613536,19.512209441990386
32,0.5,480,361,440,0.6266936692017189,-0.0030225431346194284,0.6297162123363383,32.745243041489594
32,0.75,480,361,440,0.7935606895208434,0.020852696577383926,0.7727079929434594,40.180815633059886
32,1.0,480,361,440,0.9849308493686322,-0.0248029744465726,1.0097338238152047,52.50615883839065
33,0.0,480,357,444,0.2099853574953114,-0.006517998114760882,0.2165033556100723,11.25817449172376
33,0.25,480,357,444,0.42137479987124565,0.0023093290186661803,0.4190654708525795,21.791404484334134
33,0.5,480,357,444,0.5306489044722696,-0.07547035271715177,0.6061192571894214,31.518201373849912
33,0.75,480,357,444,0.8938070518632221,0.027254327992276277,0.866552723870946,45.06074164128919
33,1.0,480,357,444,0.9823152601670564,0.10883424316436312,0.8734810170026933,45.421012884140055
34,0.0,480,369,432,0.11152879187777967,0.05118708438634548,0.0603417074914342,3.1377687895545785
34,0.25,480,369,432,0.3657699953533338,-0.06521051779611388,0.43098051314944774,22.410986683771284
34,0.5,480,369,432,0.568977026115277,0.02778173131579207,0.541195294799485,28.14215532957322
34,0.75,480,369,432,0.8171937290307801,-0.0899267610427316,0.9071204900735118,47.17026548382261
34,1.0,480,369,432,1.0039693912466083,-0.046728151890827206,1.0506975431374357,54.63627224314666
35,0.0,480,372,429,0.10385020063666187,0.023779140596550945,0.08007106004011091,4.163695122085768
35,0.25,480,372,429,0.4085678712420201,0.0064462942146829155,0.40212157702733714,20.91032200542153
35,0.5,480,372,429,0.6281924135331365,-0.014845955757647026,0.6430383692907834,33.437995203120735
35,0.75,480,372,429,0.830624442715758,-0.021323624186402303,0.8519480669021602,44.30129947891233
35,1.0,480,372,429,1.0332280208979288,-0.07958943799187698,1.1128174588898057,57.86650786226989
36,0.0,480,355,446,0.10142514606838726,0.010151270163843137,0.09127387590454415,4.746241547036296
36,0.25,480,355,446,0.30688622255774944,-0.030121100450793557,0.337007323008543,17.524380796444238
36,0.5,480,355,446,0.5174760609842324,0.02485527514820416,0.49262078583602825,25.61628086347347
36,0.75,480,355,446,0.8052489099332713,-0.021546917208152314,0.8267958271414236,42.99338301135403
36,1.0,480,355,446,1.053308789173012,0.04503722752112183,1.00827156165189,52.43012120589828
37,0.0,480,357,444,0.1625849665401162,0.04248140649692266,0.12010356004319353,6.245385122246064
37,0.25,480,357,444,0.3684917830478368,0.011357160824308137,0.35713462222352865,18.57100035562349
37,0.5,480,357,444,0.5993934902802962,0.02345864797174978,0.5759348423085464,29.948611800044414
